Generación,Fitness,Máximo
1,-30,-10
1,-30,-10
1,-30,-10
1,-30,-10
1,-28,-10
1,-26,-10
1,-26,-10
1,-26,-10
1,-26,-10
1,-26,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-24,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-22,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-20,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-18,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-16,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-14,-10
1,-12,-10
1,-12,-10
1,-12,-10
1,-10,-10
2,-32,-8
2,-32,-8
2,-30,-8
2,-28,-8
2,-26,-8
2,-24,-8
2,-24,-8
2,-24,-8
2,-22,-8
2,-22,-8
2,-22,-8
2,-22,-8
2,-22,-8
2,-22,-8
2,-22,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-20,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-18,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-16,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-14,-8
2,-12,-8
2,-12,-8
2,-12,-8
2,-12,-8
2,-12,-8
2,-10,-8
2,-10,-8
2,-10,-8
2,-10,-8
2,-8,-8
3,-28,-8
3,-26,-8
3,-26,-8
3,-24,-8
3,-24,-8
3,-22,-8
3,-22,-8
3,-22,-8
3,-22,-8
3,-22,-8
3,-22,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-20,-8
3,-18,-8
3,-18,-8
3,-18,-8
